bridge 
bruxism 
chippedTooth fromKidsDental 
crown 
deepCavity amalgam 
deepCavity composite 
earlyLoss fromKidsDental 
extraction 
fullDentures 
gumDisease 
implant 
lateLoss fromKidsDental 
multiCavity 
partialDentures 
rootCanal 
rootPlaningScaling 
routineClean 
teethWhitening 
toothAbcess fromKidsDental 
upperImplant 
veneers 
wisdomTeeth 
